iter	Passed	Remaining
0	136	136620
1	138	68959
2	139	46340
3	140	34992
4	141	28206
5	143	23692
6	144	20457
7	145	18042
8	146	16161
9	147	14651
10	149	13411
11	150	12374
12	151	11496
13	152	10747
14	153	10094
15	155	9533
16	156	9034
17	157	8594
18	158	8197
19	159	7837
20	160	7482
21	161	7190
22	167	7100
23	168	6857
24	169	6623
25	171	6406
26	178	6419
27	179	6226
28	180	6044
29	181	5874
30	182	5710
31	183	5558
32	184	5414
33	186	5286
34	187	5170
35	188	5051
36	189	4941
37	190	4832
38	191	4730
39	193	4633
40	194	4542
41	195	4455
42	196	4371
43	197	4290
44	198	4212
45	199	4137
46	200	4070
47	202	4009
48	203	3944
49	204	3884
50	205	3827
51	206	3767
52	207	3711
53	208	3657
54	209	3606
55	210	3556
56	212	3509
57	213	3464
58	214	3419
59	215	3377
60	217	3342
61	218	3305
62	219	3270
63	221	3234
64	222	3198
65	223	3162
66	224	3128
67	225	3096
68	227	3066
69	228	3034
70	229	3003
71	230	2975
72	232	2947
73	233	2920
74	234	2893
75	235	2865
76	236	2838
77	237	2812
78	239	2787
79	240	2762
80	241	2737
81	242	2713
82	243	2690
83	244	2667
84	245	2645
85	247	2628
86	248	2607
87	249	2588
88	250	2567
89	251	2547
90	253	2527
91	254	2508
92	255	2489
93	256	2470
94	257	2451
95	258	2433
96	259	2416
97	260	2398
98	261	2383
99	263	2367
100	264	2350
101	265	2334
102	266	2317
103	267	2302
104	268	2286
105	269	2271
106	270	2256
107	271	2242
108	272	2228
109	273	2214
110	274	2200
111	275	2187
112	277	2175
113	278	2164
114	279	2152
115	280	2139
116	281	2127
117	282	2114
118	283	2102
119	285	2090
120	286	2078
121	287	2065
122	288	2054
123	289	2042
124	290	2031
125	291	2022
126	292	2012
127	293	2002
128	295	1992
129	296	1982
130	297	1971
131	298	1961
132	299	1951
133	300	1940
134	301	1930
135	302	1920
136	303	1910
137	304	1901
138	305	1891
139	306	1882
140	307	1875
141	309	1867
142	310	1858
143	311	1849
144	312	1840
145	313	1832
146	314	1823
147	315	1815
148	316	1806
149	317	1798
150	318	1789
151	319	1781
152	320	1773
153	321	1766
154	322	1759
155	323	1751
156	324	1743
157	325	1736
158	326	1728
159	327	1720
160	328	1713
161	330	1707
162	331	1699
163	332	1692
164	333	1685
165	334	1678
166	335	1671
167	336	1664
168	337	1658
169	338	1653
170	339	1647
171	340	1640
172	341	1633
173	342	1627
174	343	1621
175	344	1614
176	345	1608
177	346	1602
178	348	1596
179	349	1590
180	350	1584
181	351	1578
182	352	1572
183	353	1567
184	354	1561
185	355	1555
186	356	1549
187	357	1544
188	358	1538
189	359	1533
190	360	1528
191	362	1526
192	364	1523
193	366	1520
194	367	1517
195	368	1513
196	370	1508
197	371	1504
198	372	1499
199	373	1494
200	374	1489
201	376	1485
202	377	1481
203	378	1476
204	379	1471
205	380	1466
206	381	1461
207	382	1457
208	383	1453
209	385	1448
210	386	1444
211	387	1440
212	388	1436
213	389	1432
214	393	1437
215	394	1432
216	395	1428
217	396	1423
218	398	1419
219	399	1415
220	400	1411
221	401	1406
222	402	1402
223	404	1399
224	405	1395
225	406	1391
226	407	1388
227	408	1384
228	410	1380
229	411	1376
230	412	1373
231	413	1369
232	414	1365
233	415	1361
234	417	1359
235	418	1354
236	419	1350
237	420	1347
238	421	1343
239	423	1339
240	424	1335
241	425	1331
242	426	1327
243	427	1324
244	428	1321
245	429	1317
246	430	1313
247	431	1309
248	433	1306
249	434	1302
250	435	1298
251	436	1294
252	437	1291
253	438	1287
254	439	1283
255	440	1280
256	441	1277
257	443	1274
258	444	1271
259	445	1268
260	446	1265
261	447	1261
262	448	1258
263	450	1254
264	451	1251
265	452	1248
266	453	1244
267	454	1241
268	455	1238
269	456	1235
270	458	1232
271	459	1230
272	460	1227
273	462	1224
274	463	1220
275	464	1217
276	465	1214
277	466	1210
278	467	1207
279	468	1204
280	469	1201
281	470	1197
282	471	1194
283	472	1191
284	473	1188
285	474	1185
286	475	1182
287	477	1179
288	478	1176
289	479	1172
290	480	1169
291	481	1166
292	482	1163
293	483	1160
294	484	1157
295	485	1154
296	486	1150
297	487	1147
298	488	1145
299	489	1143
300	490	1140
301	491	1136
302	492	1133
303	493	1130
304	494	1127
305	495	1124
306	496	1121
307	497	1118
308	498	1115
309	499	1112
310	501	1109
311	502	1107
312	503	1104
313	504	1101
314	505	1099
315	506	1096
316	507	1093
317	508	1090
318	509	1087
319	510	1085
320	511	1082
321	513	1080
322	514	1077
323	515	1074
324	516	1072
325	517	1069
326	518	1066
327	519	1064
328	520	1061
329	521	1058
330	522	1056
331	523	1053
332	524	1050
333	525	1048
334	526	1045
335	527	1043
336	528	1040
337	529	1038
338	531	1035
339	532	1033
340	533	1031
341	535	1029
342	536	1027
343	537	1024
344	538	1022
345	539	1020
346	540	1017
347	541	1015
348	542	1012
349	543	1009
350	544	1007
351	545	1004
352	546	1002
353	547	999
354	549	998
355	550	996
356	552	994
357	553	992
358	554	989
359	555	987
360	556	984
361	557	982
362	558	979
363	559	977
364	560	975
365	561	972
366	562	970
367	564	968
368	565	966
369	566	964
370	567	961
371	568	959
372	569	957
373	570	955
374	571	953
375	573	951
376	574	949
377	575	946
378	576	944
379	577	942
380	578	940
381	579	937
382	580	935
383	581	933
384	582	931
385	583	928
386	584	926
387	585	924
388	587	922
389	588	919
390	589	917
391	590	915
392	591	913
393	592	910
394	593	908
395	594	906
396	595	904
397	596	902
398	597	900
399	598	898
400	599	896
401	600	893
402	601	891
403	602	889
404	604	887
405	605	885
406	606	883
407	607	880
408	608	878
409	609	876
410	610	874
411	611	872
412	612	870
413	613	868
414	614	866
415	615	864
416	616	861
417	617	859
418	618	857
419	620	856
420	623	857
421	624	855
422	625	853
423	626	850
424	627	848
425	628	846
426	629	844
427	630	842
428	631	840
429	632	838
430	633	836
431	634	834
432	635	832
433	637	830
434	638	828
435	639	826
436	640	825
437	641	823
438	642	821
439	643	818
440	644	817
441	645	815
442	646	813
443	648	811
444	649	809
445	650	807
446	651	805
447	652	803
448	653	801
449	654	799
450	655	798
451	656	796
452	657	794
453	658	792
454	659	790
455	660	788
456	661	786
457	662	784
458	663	782
459	664	780
460	665	778
461	666	776
462	667	774
463	668	772
464	669	770
465	671	768
466	672	767
467	673	765
468	674	763
469	675	761
470	675	759
471	676	757
472	677	755
473	678	753
474	679	751
475	680	749
476	681	747
477	682	745
478	683	743
479	685	742
480	686	740
481	687	738
482	688	736
483	689	734
484	690	732
485	691	731
486	692	729
487	693	727
488	694	725
489	695	723
490	696	722
491	697	720
492	698	718
493	699	716
494	700	714
495	701	713
496	702	711
497	703	709
498	704	707
499	705	705
500	706	704
501	707	702
502	708	700
503	709	698
504	711	696
505	712	695
506	713	693
507	714	691
508	715	689
509	716	688
510	717	686
511	718	684
512	719	682
513	720	681
514	721	679
515	722	677
516	723	675
517	724	674
518	725	672
519	726	670
520	727	668
521	728	667
522	729	665
523	730	663
524	731	662
525	732	660
526	734	659
527	735	657
528	737	656
529	738	654
530	739	652
531	740	651
532	741	649
533	742	647
534	743	646
535	744	644
536	745	643
537	746	641
538	747	639
539	748	638
540	750	636
541	751	634
542	752	633
543	753	631
544	754	629
545	755	627
546	756	626
547	757	624
